desc,calcrule_id,attachment_gt_0,deductible_gt_0,deductible_min_gt_0,deductible_max_gt_0,limit_gt_0,ded_type,ded_code,lim_type,lim_code,share_gt_0
deductible % loss with max deductible and limit,26,0,1,0,1,1,1,0,0,0,0
deductible % loss with min deductible and limit % loss,35,0,1,1,0,1,1,0,1,0,0
deductible % loss  with max deductible and limit % loss,35,0,1,0,1,1,1,0,1,0,0
deductible % loss with min and max deductible and limit % loss,35,0,1,1,1,1,1,0,1,0,0
no deductible % loss with min deductible and limit % loss,35,0,0,1,0,1,1,0,1,0,0
no deductible % loss  with max deductible and limit % loss,35,0,0,0,1,1,1,0,1,0,0
no deductible % loss with min and max deductible and limit % loss,35,0,0,1,1,1,1,0,1,0,0
deductible with min deductible and limit % loss,36,0,1,1,0,1,0,0,1,0,0
deductible with max deductible and limit % loss,36,0,1,0,1,1,0,0,1,0,0
deductible with min and max deductible and limit % loss,36,0,1,1,1,1,0,0,1,0,0
no deductible with min deductible and limit % loss,36,0,0,1,0,1,0,0,1,0,0
no deductible with max deductible and limit % loss,36,0,0,0,1,1,0,0,1,0,0
no deductible with min and max deductible and limit % loss,36,0,0,1,1,1,0,0,1,0,0
"deductible, limit; share",101,0,1,0,0,1,0,0,0,0,1
"franchise deductible, limit; share",103,0,1,0,0,1,0,2,0,0,1
deductible % loss with limit % loss; share,105,0,1,0,0,1,1,0,1,0,1
"no deductible; limit, max. deductible; share",107,0,0,0,1,1,0,0,0,0,1
"no deductible % loss; limit, max. deductible; share",107,0,0,0,1,1,1,0,0,0,1
"deductible; limit, max. deductible; share",107,0,1,0,1,1,0,0,0,0,1
"deductible; limit, min and max. deductible; share",107,0,1,1,1,1,0,0,0,0,1
"no deductible; limit, min and max. deductible; share",107,0,0,1,1,1,0,0,0,0,1
"no deductible; limit, min. deductible; share",108,0,0,1,0,1,0,0,0,0,1
"no deductible % loss; limit, min. deductible; share",108,0,0,1,0,1,1,0,0,0,1
"deductible; limit, min. deductible; share",108,0,1,1,0,1,0,0,0,0,1
no deductible or limit; max. deductible; share,110,0,0,0,1,0,0,0,0,0,1
no deductible or limit % loss; max. deductible; share,110,0,0,0,1,0,0,0,1,0,1
"deductible, no limit, max. deductible; share",110,0,1,0,1,0,0,0,0,0,1
"deductible, no limit % loss; max. deductible; share",110,0,1,0,1,0,0,0,1,0,1
no deductible % loss or limit; max. deductible; share,110,0,0,0,1,0,1,0,0,0,1
no deductible % loss or limit % loss; max. deductible; share,110,0,0,0,1,0,1,0,1,0,1
no deductible or limit; min. deductible; share,111,0,0,1,0,0,0,0,0,0,1
no deductible or limit % loss; min. deductible; share,111,0,0,1,0,0,0,0,1,0,1
"deductible, no limit; min. deductible; share",111,0,1,1,0,0,0,0,0,0,1
"deductible, no limit % loss; min. deductible; share",111,0,1,1,0,0,0,0,1,0,1
no deductible % loss or limit; min. deductible; share,111,0,0,1,0,0,1,0,0,0,1
no deductible % loss or limit % loss; min. deductible; share,111,0,0,1,0,0,1,0,1,0,1
deductible; no limit; share,112,0,1,0,0,0,0,0,0,0,1
deductible; no limit % loss; share,112,0,1,0,0,0,0,0,1,0,1
no deductible or limit; min. & max. deductible; share,113,0,0,1,1,0,0,0,0,0,1
no deductible or limit % loss; min. & max. deductible; share,113,0,0,1,1,0,0,0,1,0,1
no deductible % loss or limit; min. & max. deductible; share,113,0,0,1,1,0,1,0,0,0,1
no deductible % loss or limit % loss; min. & max. deductible; share,113,0,0,1,1,0,1,0,1,0,1
"no deductible, limit only; share",114,0,0,0,0,1,0,0,0,0,1
no deductible % loss; limit only; share,114,0,0,0,0,1,1,0,0,0,1
no deductible; limit % loss; share,115,0,0,0,0,1,0,0,1,0,1
no deductible % loss; limit % loss; share,115,0,0,0,0,1,1,0,1,0,1
deductible; limit % loss; share,115,0,1,0,0,1,0,0,1,0,1
deductible % loss; no limit; share,116,0,1,0,0,0,1,0,0,0,1
deductible % loss; no limit % loss; share,116,0,1,0,0,0,1,0,1,0,1
deductible % loss; limit; share,133,0,1,0,0,1,1,0,0,0,1
deductible % loss with min. and max. deductible; no limit; share,119,0,1,1,1,0,1,0,0,0,1
deductible % loss with min. and max. deductible; no limit % loss; share,119,0,1,1,1,0,1,0,1,0,1
deductible % loss with max. deductible; no limit; share,119,0,1,0,1,0,1,0,0,0,1
deductible % loss with max. deductible; no limit % loss; share,119,0,1,0,1,0,1,0,1,0,1
deductible % loss with min. deductible; no limit; share,119,0,1,1,0,0,1,0,0,0,1
deductible % loss with min. deductible; no limit % loss; share,119,0,1,1,0,0,1,0,1,0,1
reverse franchise deductible; no limit; share,120,0,1,0,0,0,0,99,0,0,1
reverse franchise deductible; no limit % loss; share,120,0,1,0,0,0,0,99,1,0,1
"deductible with min and max deductible, no limit; share",113,0,1,1,1,0,0,0,0,0,1
"deductible with min and max deductible, no limit % loss; share",113,0,1,1,1,0,0,0,1,0,1
"deductible % loss with min and max deductible, limit; share",126,0,1,1,1,1,1,0,0,0,1
"no deductible % loss;  min and max deductible, limit; share",126,0,0,1,1,1,1,0,0,0,1
"deductible % loss with min deductible, limit; share",126,0,1,1,0,1,1,0,0,0,1
"deductible % loss with max deductible, limit; share",126,0,1,0,1,1,1,0,0,0,1
"deductible % loss with min deductible, limit % loss; share",135,0,1,1,0,1,1,0,1,0,1
"deductible % loss  with max deductible, limit % loss; share",135,0,1,0,1,1,1,0,1,0,1
"deductible % loss with min and max deductible, limit % loss; share",135,0,1,1,1,1,1,0,1,0,1
"no deductible % loss with min deductible, limit % loss; share",135,0,0,1,0,1,1,0,1,0,1
"no deductible % loss  with max deductible, limit % loss; share",135,0,0,0,1,1,1,0,1,0,1
"no deductible % loss with min and max deductible, limit % loss; share",135,0,0,1,1,1,1,0,1,0,1
"deductible with min deductible, limit % loss; share",136,0,1,1,0,1,0,0,1,0,1
"deductible with max deductible, limit % loss; share",136,0,1,0,1,1,0,0,1,0,1
"deductible with min and max deductible, limit % loss; share",136,0,1,1,1,1,0,0,1,0,1
"no deductible with min deductible, limit % loss; share",136,0,0,1,0,1,0,0,1,0,1
"no deductible with max deductible, limit % loss; share",136,0,0,0,1,1,0,0,1,0,1
